system,dataset,expected,goal,exit_code,actual,correct_behaviour,runtime_sec
baseline,dataset1_logic_course,valid,True,1,failed_or_unproved,no,9.589
baseline,dataset1_logic_course,valid,False --> A,1,failed_or_unproved,no,8.739
baseline,dataset1_logic_course,valid,A --> A,1,failed_or_unproved,no,9.203
baseline,dataset1_logic_course,valid,A & B --> A,1,failed_or_unproved,no,10.632
baseline,dataset1_logic_course,valid,A & B --> B,1,failed_or_unproved,no,10.824
baseline,dataset1_logic_course,valid,A --> A | B,1,failed_or_unproved,no,10.927
baseline,dataset1_logic_course,valid,B --> A | B,1,failed_or_unproved,no,11.738
baseline,dataset1_logic_course,valid,A & B --> B & A,1,failed_or_unproved,no,11.595
baseline,dataset1_logic_course,valid,A | B --> B | A,1,failed_or_unproved,no,10.775
baseline,dataset1_logic_course,valid,A --> (B --> A),1,failed_or_unproved,no,10.754
baseline,dataset1_logic_course,valid,(A --> B) --> ((B --> C) --> (A --> C)),1,failed_or_unproved,no,12.234
baseline,dataset1_logic_course,valid,(A --> (B --> C)) --> (B --> (A --> C)),1,failed_or_unproved,no,65.337
baseline,dataset1_logic_course,valid,((A --> B) & (B --> C)) --> (A --> C),1,failed_or_unproved,no,12.19
baseline,dataset1_logic_course,valid,(A --> B) --> (~ B --> ~ A),1,failed_or_unproved,no,11.823
baseline,dataset1_logic_course,valid,~~ A --> A,1,failed_or_unproved,no,65.663
baseline,dataset1_logic_course,valid,A --> ~~ A,1,failed_or_unproved,no,10.898
baseline,dataset1_logic_course,valid,~(A | B) --> (~ A & ~ B),1,failed_or_unproved,no,11.166
baseline,dataset1_logic_course,valid,(~ A & ~ B) --> ~(A | B),1,failed_or_unproved,no,12.239
baseline,dataset1_logic_course,valid,~(A & B) --> (~ A | ~ B),1,failed_or_unproved,no,11.644
baseline,dataset1_logic_course,valid,((A --> B) & (B --> A)) --> (A = B),1,failed_or_unproved,no,65.46
